business_name,website_url,google_maps_url,category,phone,address,city,state,rating,review_count,owner_name,owner_title,email,contact_form_url,facebook_url,instagram_url,linkedin_url,twitter_url,youtube_url,tiktok_url,source_urls,notes
Cowley's Pub,Not found,Not found,Irish Pub,+40 767 245 970,Strada Corneliu Coposu 1A,Sighetu Marmatiei,Maramures,4.1,552,Not found,Not found,Not found,Not found,https://www.facebook.com/CowleysPUB/,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Cowleys-Pub-Sighetu-Marmatiei | https://www.tripadvisor.com/Restaurant_Review-g608955-d24155979-Reviews-Cowley_s_Pub-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transylvania.html,Rating/review count from Restaurant Guru
Friends Pub / Friends Wine Bar,Not found,Not found,Pub / Wine Bar,Not found,Strada Iuliu Maniu 20,Sighetu Marmatiei,Maramures,4.5,Not found,Not found,Not found,Not found,https://www.meniudigital.ro/friendspub,https://www.facebook.com/Friends.Pub.Sighetu.Marmatiei/,Not found,Not found,Not found,Not found,Not found,https://www.tripadvisor.com/Restaurant_Review-g608955-d17798747-Reviews-Friends_Wine_Bar-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transylvan.html | https://harta.biz/sighetu-marmatiei-mm/baruri/friends-pub/,Rating from Tripadvisor listing as Friends Wine Bar; outdoor seating
David's Pub,https://vilaroyal.ro/,Not found,Pub / Buffet Restaurant,+40 262 311 004,Strada Ioan Mihaly de Apsa Nr. 1,Sighetu Marmatiei,Maramures,3.5,Not found,Not found,Not found,vilaroyal@yahoo.com,Not found,https://www.facebook.com/p/Davids-PUB-100057407171767/,Not found,Not found,Not found,Not found,Not found,https://www.tripadvisor.com/Restaurant_Review-g608955-d12535790-Reviews-David_s_Pub-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transylvania.html,Operated under Vila Royal guesthouse brand
Bistro Montana,Not found,Not found,Fast Food Restaurant,+40 766 886 071,Strada Dragos Voda Nr. 1,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/bistromontana/,Not found,Not found,Not found,Not found,Not found,https://sighetu-marmatiei.cylex.ro/firma/bistro+montana-1209012.html | https://firmania.ro/sighetu-marmatiei/bistro-montana-204292,"Burgers, pizza, salads, soup, fries; located across from Ukrainian Orthodox church"
Paul's Roti,Not found,Not found,Sandwich / Roti Shop,Not found,Sighetu Marmatiei city center,Sighetu Marmatiei,Maramures,5.0,11,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Pauls-Roti-Sighetu-Marmatiei,Ranked No. 1 of 119 places to eat in Sighetu Marmatiei per Restaurant Guru
NOOR Bistro,https://noor-bistro-sighet.netlify.app/,Not found,Bistro,+40 755 608 988,Strada Avram Iancu 7-9,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/p/NOOR-Bistro-61574118899363/,Not found,Not found,Not found,Not found,Not found,https://noor-bistro-sighet.netlify.app/,Daily menu; weekend grill on terrace
VAMA9,https://vama9.online/,Not found,Modern Restaurant / Pizza & Grill,+40 749 557 541,Strada Teplitei 66 (DN18),Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://vama9.online/,"Open daily 07:00-22:00; free parking, terrace"
Bistro Urban Tand&Co (now Bistro Urban La Caruta),Not found,Not found,Bistro,Not found,Strada Alexandru Ivasiuc 53A,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/BistroUrbanLaCaruta/,Not found,Not found,Not found,Not found,Not found,https://www.tripadvisor.com/Restaurant_Review-g608955-d17550571-Reviews-Bistro_Urban_Tand_Co-Sighetu_Marmatiei_Maramures_County_Northwest_Romania_Transy.html | https://listafirme.eu/bistro-urban-la-caruta-srl-39115812/,Name appears to have changed from Tand&Co to La Caruta - same registered company (Bistro Urban La Caruta SRL)
Bistro Urban Chindris,Not found,Not found,Bistro,Not found,Sighetu Marmatiei,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/608720639515593,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/608720639515593,Exact address not found
Bistro HGM,Not found,Not found,Bistro,Not found,Strada Mihai Eminescu (area),Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/BistroHGM/,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/BistroHGM/ | https://moovitapp.com/index/en/public_transit-Bistro_Hgm-Baia_Mare-site_230172671-5839,HGM likely references Hotel/Gradina Morii - possibly affiliated with Hotel Restaurant Gradina Morii; verify relationship
"Flamingo - Restaurant, Bar & Pensiune",https://www.flamingopension.ro/,Not found,Restaurant & Bar,+40 722 757 567,Strada George Cosbuc Nr. 36,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,contact@flamingopension.ro,https://www.flamingopension.ro/,https://www.facebook.com/flamingopension/,Not found,Not found,Not found,Not found,Not found,https://www.flamingopension.ro/ | https://www.tripadvisor.com/Restaurant_Review-g608955-d6740016-Reviews-Pensiune_Restaurant_Flamingo-Sighetu_Marmatiei_Maramures_County_Northwest_Romania.html,Overlooks Solovan Hill; special-diet dishes available
Acapulco - Restaurant & Bar,Not found,Not found,Restaurant & Bar,Not found,Strada Nicolae Titulescu Nr. 29,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/acapulco.rest.bar/,Not found,https://www.linkedin.com/company/restaurant-acapulco-sighetu-marmatiei,Not found,Not found,Not found,https://www.facebook.com/acapulco.rest.bar/ | https://www.linkedin.com/company/restaurant-acapulco-sighetu-marmatiei,Open Mon-Sun 9:00-22:00
Coliba Drumetului,Not found,Not found,Traditional Restaurant / Pizza,+40 754 497 091,Piata Libertatii Nr. 13,Sighetu Marmatiei,Maramures,3.9,296,Not found,Not found,Not found,Not found,https://www.facebook.com/p/Coliba-Drume%C8%9Bului-100057188870265/,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Coliba-Drumetului-Sighetu-Marmatiei | https://www.visitmaramures.ro/en/places/coliba-drumetului,Also listed phone 0262 313 122; open daily 07:00-23:00; outdoor terrace
Big Food,Not found,Not found,Fast Food,Not found,Strada Unirii,Sighetu Marmatiei,Maramures,3.7,46,Not found,Not found,Not found,Not found,https://www.facebook.com/61550578231309,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Big-food-Sighetu-Marmatiei,Address also cited as Strada Bogdan Voda in one source - verify exact location
YAMMY,Not found,Not found,Fast Food,+40 740 234 234,Strada 9 Mai 21,Sighetu Marmatiei,Maramures,4.3,97,Not found,Not found,fastfoodyammy@gmail.com,Not found,https://www.facebook.com/yammysighet/,Not found,Not found,Not found,Not found,Not found,https://www.soimiigastronomiei.ro/profile-65001-fast-food-yammy | https://fast-food-yammy.eatbu.com/?lang=en,"Delivery, takeaway, air conditioning, free WiFi"
Pizza a'Morii,https://pizzaamorii.ro/,Not found,Pizzeria,+40 733 104 866,Strada Mihai Eminescu 97 (Gradina Morii park),Sighetu Marmatiei,Maramures,4.1,55,Not found,Not found,Not found,Not found,https://www.facebook.com/pizza.amorii/,Not found,Not found,Not found,Not found,Not found,https://pizzaamorii.ro/ | https://restaurantguru.com/Pizza-aMorii-Sighetu-Marmatiei,"Delivery until 18:00, pickup until 22:00"
La Masa Morosanului,https://restaurant-sighet.wixsite.com/lamasamorosanului,Not found,Traditional Restaurant,Not found,Sighetu Marmatiei,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,https://restaurant-sighet.wixsite.com/lamasamorosanului,Not found,Not found,Not found,Not found,Not found,Not found,https://restaurant-sighet.wixsite.com/lamasamorosanului,Exact address/phone not found on indexed pages
Perla Sigheteana (Motel-Restaurant),https://www.perlasigheteana.ro/,Not found,Motel Restaurant,+40 262 310 613,Strada Avram Iancu Nr. 65A,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,perlasigheteana1999@yahoo.com,http://www.perlasigheteana.ro/contact,https://www.facebook.com/PerlaSigheteana/,Not found,Not found,Not found,Not found,Not found,http://www.perlasigheteana.ro/contact,Fax 0262 310 268; restaurant 200 seats + terrace 70 seats
Fast Food Plus Sighet,Not found,Not found,Fast Food,Not found,Strada Pictor Nicolae Grigorescu 57,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://listafirme.ro/fast-food-plus-sighet-srl-36672410/,"Registered as Fast Food Plus Sighet SRL-D, CUI 36672410"
Restaurant Pizzeria Venezia,Not found,Not found,Pizzeria / Restaurant,Not found,Strada Mihai Viteazu 42,Sighetu Marmatiei,Maramures,4.5,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/restaurantpizeriavenezia,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Pizzeria-Venetia-Sighetu-Marmatiei | https://www.waze.com/live-map/directions/ro/mm/sighetu-marmatiei/restaurant-pizzeria-venezia,Ranked No. 5 of 17 pizza restaurants per Restaurant Guru
DAFI Cafe,Not found,Not found,Cafe-Bar,+40 362 102 281,Strada Bogdan Voda Nr. 1,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/DAFIcafe/,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/DAFIcafe/,Not found
The Coffee Factory (Bar),https://thecoffeefactory.ro/,Not found,Coffee Bar,+40 758 454 033,Strada Bogdan Voda,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,https://thecoffeefactory.ro/contact/,Not found,Not found,Not found,Not found,Not found,Not found,https://thecoffeefactory.ro/contact/ | https://ro.top10place.com/the-coffee-factory-289595875.html,Also has a wholesale/roastery location at Strada Avram Iancu 51D
Cafe Bar Mirela-Chef,Not found,Not found,Cafe-Bar,Not found,Piata 1 Decembrie 1918,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://moovitapp.com/index/ro/transport_public-Cafe_Bar_Mirela_Chef-Baia_Mare-site_143115761-5839,Phone/website not publicly indexed
Hotel Marmatia / Restaurant Marmatia,Not found,Not found,Hotel Restaurant,+40 372 721 210,Strada Mihai Eminescu 97,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://www.infopensiuni.ro/cazare-sighetu-marmatiei/restaurante-cluburi-sighetu-marmatiei/restaurant-marmatia_126 | https://sighetu-marmatiei.cylex.ro/firma/hotel+marmatia-598266.html,Alt phone +40 372 721 211; 140-seat restaurant + 80-seat terrace; traditional Romanian & international cuisine
Hotel Coroana (Restaurant),Not found,Not found,Historic Hotel Restaurant,Not found,Strada Libertatii 8 / Piata Libertatii Nr. 21,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/coroanahotel/,Not found,Not found,Not found,Not found,Not found,https://ro.wikipedia.org/wiki/Hotelul_%E2%80%9ECoroana%E2%80%9D_din_Sighetu_Marma%C8%9Biei | https://www.salutsighet.ro/hotelul-coroana-din-sighet-este-proprietate-guvernului-maghiar-autor-teofil-ivanciuc/,"Historic inn since 1775; restaurant capacity approx. 250 seats, bar-cafe 50 seats, summer garden 300 seats"
Pensiunea Doli (Restaurant & Bar),Not found,Not found,Guesthouse Restaurant & Bar,+40 362 730 207,"Strada Iapa, Nr. 15F",Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,pensiunea.doli@yahoo.com,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://maramures.org/item/pensiunea-doli-sighetu-marmatiei/ | https://pensiunea-doli.webnode.ro/,Mobile +40 754 948 444; restaurant capacity 300 seats with live Maramures folk music
Eddie's Lounge & Bar,Not found,Not found,Lounge Bar,Not found,Sighetu Marmatiei,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/eddies.lounge.bar/,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/eddies.lounge.bar/,Open 12:00-02:00; exact address not found on indexed pages
Hotel IZA - Restaurant & Lounge,https://hoteliza.ro/en/restaurant/,Not found,Hotel Restaurant & Lounge,+40 362 803 896,Strada Faget Nr. 88D,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,contact@hoteliza.ro,https://hoteliza.ro/en/contact/,https://www.facebook.com/hoteliza.ro/,Not found,Not found,Not found,Not found,Not found,https://hoteliza.ro/en/contact/ | https://hoteliza.ro/en/restaurant/,Also 0362 803 897 landline and mobile +40 754 752 515
Time Out Central,Not found,Not found,Fast Food Restaurant,Not found,Piata Libertatii Nr. 24,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://firmania.ro/sighetu-marmatiei/time-out-central-144326 | https://sighetu-marmatiei.cylex.ro/firma/time+out+central-1202108.html,Registered as Time Out Central SRL (CUI 36520748); casual quick-meal spot
Pizzeria My Place,https://pizzeriamyplace.metro.rest/?lang=en,Not found,Pizzeria,Not found,Piata 1 Decembrie 1918,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://pizzeriamyplace.metro.rest/?lang=en,Phone not publicly indexed
Pizzeria Riccione,Not found,Not found,Pizzeria,+40 745 551 073,Piata 1 Decembrie 1918,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,https://www.facebook.com/Pizzeria-Riccione,Not found,Not found,Not found,Not found,Not found,https://menuweb.menu/restaurants/sighetu-marmatiei/pizzeria-riccione-2 | https://meniu.menu/restaurants/sighetu-marmatiei/ro-pizzeria-riccione,Alt phone +40 753 688 864
J'ador Espresso Bar,Not found,Not found,Espresso / Coffee Bar,+40 744 251 607,Strada Iuliu Maniu Nr. 1,Sighetu Marmatiei,Maramures,4.5,366,Not found,Not found,Not found,Not found,https://www.facebook.com/p/Jador-Espresso-Bar-100063612698360/,Not found,Not found,Not found,Not found,Not found,https://restaurantguru.com/Jador-Espresso-Bar-Sighetu-Marmatiei | https://harta.biz/sighetu-marmatiei-mm/baruri/jador-espresso-bar/,"Hours Mon-Thu 07:30-23:00, Fri 07:30-01:00, Sat 09:00-01:00, Sun 10:00-23:00"
Shaorma Regal,Not found,Not found,Fast Food / Grill,Not found,Strada Tudor Vladimirescu 18,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,http://www.irestaurant.ro/restaurant_shaorma_regal_prenotazione_restaurant_r14396.html,Phone not publicly indexed
Curtea Berarilor,https://curteaberarilor.com/en/,Not found,Beer Garden / Brewery Restaurant,Not found,Sighetu Marmatiei historic center,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,https://curteaberarilor.com/en/,Not found,Not found,Not found,Not found,Not found,Not found,https://curteaberarilor.com/en/ | https://restograf.ro/restaurant/curtea-berarilor-796/,"Craft beer, neo-traditional courtyard concept established c. 2007; exact street address not found"
Cafe Bar Violeta,Not found,Not found,Cafe-Bar,Not found,Strada Unirii 1A,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://ro.near-place.com/cafe-bar-violeta-strada-unirii-1a-sighetu-marmatiei,Phone/website not publicly indexed
Cafe Bar Style,Not found,Not found,Cafe-Bar,Not found,Sighetu Marmatiei,Sighetu Marmatiei,Maramures,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,https://ro.locale.online/cafe-bar-style-925728519.html,Exact address/phone not found on indexed pages
